2025-06-21 07:32:21,386 - INFO - Text: 'I'm feeling very nervous about this new job.' | Prediction: fear | Confidence: 0.9757
2025-06-21 07:52:55,803 - INFO - Text: 'I'm feeling very nervous about this new job.' | Prediction: fear | Confidence: 0.9757
2025-06-21 08:34:22,456 - INFO - Text: 'My teacher praised me due to which I feel good, but also because I don't have good knowledge I feel bad.' | Prediction: joy | Confidence: 0.5252
2025-06-21 09:35:52,467 - INFO - Text: 'I got first place in hackathon' | Prediction: joy | Confidence: 0.6006
2025-06-21 09:39:59,410 - INFO - Text: 'My friend beat me up badly that I don't want to speak to him anymore' | Prediction: anger | Confidence: 0.5595
2025-06-21 09:54:57,173 - INFO - Text: 'Everybody praised me for my good work' | Prediction: joy | Confidence: 0.8592
2025-06-21 10:07:52,038 - INFO - Text: 'Everyone appreciated me for my good work' | Prediction: joy | Confidence: 0.7478
2025-06-21 10:10:05,905 - INFO - Text: 'Everyone appreciated me for my good work' | Prediction: joy | Confidence: 0.7478
2025-06-21 10:18:28,243 - INFO - Text: 'Everyone apprecieted me for my good work' | Prediction: joy | Confidence: 0.9784
2025-06-21 10:26:42,277 - INFO - Text: 'Everyone apprecieted me for my good work' | Prediction: joy | Confidence: 0.9784
2025-06-21 10:28:12,807 - INFO - Text: 'I am happy today but also I am very sad' | Prediction: sadness | Confidence: 0.9547
2025-06-21 10:28:50,961 - INFO - Text: 'Everyone praised me and also everyone scolded me' | Prediction: anger | Confidence: 0.6648
2025-06-21 10:32:31,923 - INFO - Text: 'Everyone praised me and also everyone scolded me' | Prediction: anger | Confidence: 0.6648
2025-06-21 10:34:21,576 - INFO - Text: 'Everyone praised me and also everyone scolded me' | Prediction: anger | Confidence: 0.6648
2025-06-21 10:48:55,830 - INFO - Text: 'I am very happy ' | Prediction: joy | Confidence: 0.9857
2025-06-21 10:51:45,358 - INFO - Text: 'I am very angry' | Prediction: anger | Confidence: 0.9934
2025-06-21 10:53:49,139 - INFO - Text: 'It is very irritating to debug big messed up codes' | Prediction: anger | Confidence: 0.8945
2025-06-21 11:48:10,519 - INFO - Text: 'I finished my work on time' | Prediction: joy | Confidence: 0.4105
2025-06-21 11:51:04,018 - INFO - Text: 'Oh great, another meeting. Just what I needed today' | Prediction: joy | Confidence: 0.8106
2025-06-21 14:12:08,165 - INFO - Text: 'I finished my work on time' | Prediction: joy | Confidence: 0.4105
2025-06-21 14:15:04,231 - INFO - Text: 'I finished my work on time' | Prediction: joy | Confidence: 0.4105
2025-06-21 14:21:22,353 - INFO - Text: 'I went to a mall to get Ice cream' | Prediction: joy | Confidence: 0.8350
2025-06-21 14:23:25,536 - INFO - Text: 'I went home on time' | Prediction: joy | Confidence: 0.5428
2025-06-21 14:31:31,546 - INFO - Text: 'I went home early' | Prediction: sadness | Confidence: 0.4948
